"state","site","lat_dd","long_dd"
"Washington","Hobuck Beach",48.337977,-124.665286
"Washington","La Push, First Beach",47.90375,-124.632667
"Washington","Kalaloch",47.606927,-124.37617
"Washington","Quinalt",47.399752,-124.331229
"Washington","Copalis",47.111998,-124.185287
"Washington","Twin Harbors",46.838775,-124.108985
"Washington","Long Beach",46.356915,-124.065541
"Oregon","Clatsop",46.214571,-124.006121
"Oregon","Sunset Beach",46.089748,-123.939099
"Oregon","Seaside",45.996021,-123.932265
"Oregon","Cannon Beach",45.884976,-123.965154
"Oregon","Garibaldi",45.557511,-123.918846
"Oregon","Newport",44.641047,-124.066015
"Oregon","Gold Beach",42.406702,-124.426134
"California","Trinidad Pier",41.05486,-124.146966
"California","Santa Cruz Wharf",36.958,-122.017
"California","Monterey Wharf",36.603687,-121.889275
"California","CalPoly Pier",35.17,-120.741
"California","Goleta Pier",34.416107,-119.82875
"California","Stearns Wharf",34.408,-119.685
"California","Santa Monica Pier",34.008,-118.499
"California","Newport Pier",33.6061,-117.9311
"California","Scripps Pier",32.867,-117.257
