Week,Date,Year,Month,"Region (North, Central, South)",County,Site,Site Code,Time (24hr),Temp (oC),Salinity (ppt),Tide,Pseudo-nitzschia TOTAL (cells/L),Pseudo-nitzschia count LG (cells/L),Pseudo-nitzschia count SM (cells/L),Pseudo-nitzschia  americana (cells/L),Alexandrium (cells/L),Dinophysis (cells/L),H2O ELISA pDA (ng/L),%B/BO,Extract vol (ml),Dilution Factor,Comments,,
14,04/04/17,2017,April,North,Clatsop,Clatsop South Jetty,CSJ,13:00,11.6,,Outgoing,0,0,0,,0,0,N/A,,,,,,
14,04/04/17,2017,April,North,Clatsop,Clatsop Sunset,SUN,14:35,10.8,,Incoming,0,0,0,,0,0,N/A,,,,,,
14,04/06/17,2017,April,North,Clatsop,Cannon Beach Tolovana,CBT,9:10,10.5,,Incoming,0,0,0,,0,0,N/A,,,,,,
14,04/06/17,2017,April,North,Clatsop,Clatsop Seaside,SEA,8:35,11.3,,Incoming,0,0,0,,0,0,N/A,,,,,,
15,04/10/17,2017,April,North,Clatsop,Cannon Beach Tolovana,CBT,10:53,10.4,,Incoming,0,0,0,,0,0,N/A,,,,,,
15,04/10/17,2017,April,North,Tillamook,Cape Meares,CAP,12:13,10.6,,,"6,000","5,000","1,000",,0,0,N/A,,,,,,
15,04/10/17,2017,April,North,Clatsop,Clatsop Seaside,SEA,10:23,10.1,,Incoming,"5,000",0,"5,000",,0,0,N/A,,,,,,
15,04/11/17,2017,April,North,Clatsop,Clatsop South Jetty,CSJ,8:21,10.0,,Incoming,"12,000","12,000",0,,0,0,N/A,,,,,,
15,04/11/17,2017,April,North,Clatsop,Clatsop Sunset,SUN,8:43,10.2,,Incoming,0,0,0,,0,0,N/A,,,,,,
16,04/17/17,2017,April,North,Clatsop,Clatsop Seaside,SEA,12:01,11.4,,Incoming,"12,000","12,000",0,,0,0,N/A,,,,,,
16,04/17/17,2017,April,North,Clatsop,Clatsop South Jetty,CSJ,11:23,11.1,,Low,"8,000","8,000",0,,0,0,N/A,,,,,,
16,04/17/17,2017,April,North,Clatsop,Clatsop Sunset,SUN,11:32,11.4,,Incoming,"9,000","9,000",0,,0,"1,000",N/A,,,,,,
16,04/18/17,2017,April,North,Clatsop,Cannon Beach Tolovana,CBT,7:45,10.8,,Outgoing,"4,000","4,000",0,,0,0,N/A,,,,,,
16,04/18/17,2017,April,North,Tillamook,Cape Meares,CAP,16:42,13.4,,,"1,000","1,000",0,,0,0,N/A,,,,,,
16,04/18/17,2017,April,Central,Lincoln,Lincoln City Salishan,SAL,11:55,11.8,,Outgoing,"11,000","11,000",0,,0,0,,,,,,,
16,04/18/17,2017,April,Central,Lincoln,Newport South Beach,NSB,14:38,15.3,,Incoming,"10,000","10,000",0,,0,0,,,,,,,
17,04/24/17,2017,April,North,Clatsop,Cannon Beach Tolovana,CBT,11:26,11.0,,Incoming,"24,000","24,000",0,,0,0,N/A,,,,,,
17,04/24/17,2017,April,North,Tillamook,Cape Meares,CAP,12:45,12.4,,,"22,000","22,000",0,,0,0,N/A,,,,,,
17,04/24/17,2017,April,North,Clatsop,Clatsop Seaside,SEA,11:05,11.2,,Incoming,"15,000","15,000",0,,0,0,N/A,,,,,,
17,04/24/17,2017,April,North,Clatsop,Clatsop South Jetty,CSJ,10:02,10.8,,Incoming,"13,000","13,000",0,,0,0,N/A,,,,,,
17,04/24/17,2017,April,North,Clatsop,Clatsop Sunset,SUN,10:44,10.8,,Incoming,"32,000","32,000",0,,0,0,N/A,,,,,,
18,05/01/17,2017,May,North,Clatsop,Cannon Beach Tolovana,CBT,13:21,11.3,,Incoming,"41,000","41,000",0,,0,0,1158.80,,,,,,
18,05/01/17,2017,May,North,Tillamook,Cape Meares,CAP,14:55,11.6,,,"3,000","3,000",0,,0,0,N/A,,,,,,
18,05/01/17,2017,May,North,Clatsop,Clatsop Seaside,SEA,14:48,12.7,,Incoming,"172,000","172,000",0,,0,0,1248.00,,,,,,
18,05/01/17,2017,May,Central,Lincoln,Newport South Beach,NSB,,15.8,,,"98,000","97,000","1,000",,0,0,2884.10,,,,,,
18,05/02/17,2017,May,North,Clatsop,Clatsop South Jetty,CSJ,12:45,12.0,,Incoming,"57,000","57,000",0,,0,0,5376.50,,,,,,
18,05/02/17,2017,May,North,Clatsop,Clatsop Sunset,SUN,13:15,12.1,,Incoming,"113,000","113,000",0,,0,0,6415.50,,,,,,
19,05/08/17,2017,May,South,Curry,Brookings,BRO,,9.8,,,0,0,0,,0,0,N/A,,,,,,
19,05/08/17,2017,May,North,Clatsop,Cannon Beach Tolovana,CBT,8:48,11.4,,Incoming,"6,000","6,000",0,,0,0,LOW,,,,,,
19,05/08/17,2017,May,North,Tillamook,Cape Meares,CAP,10:19,10.9,,,"2,000","2,000",0,,0,0,165.40,,,,,,
19,05/08/17,2017,May,North,Clatsop,Clatsop Seaside,SEA,8:26,12.0,,Incoming,"91,000","91,000",0,,0,0,2005.50,,,,,,
19,05/08/17,2017,May,North,Clatsop,Clatsop South Jetty,CSJ,7:10,10.3,,Incoming,"42,000","42,000",0,,0,0,253.40,,,,,,
19,05/08/17,2017,May,North,Clatsop,Clatsop Sunset,SUN,7:53,10.6,,Incoming,"107,000","107,000",0,,0,0,1330.80,,,,,,
19,05/10/17,2017,May,Central,Lincoln,Lincoln City Salishan,SAL,11:21,11.9,,Incoming,"12,000","12,000",0,,0,0,,,,,,,
20,05/15/17,2017,May,North,Clatsop,Cannon Beach Tolovana,CBT,10:55,13.3,,Incoming,"44,000","40,000","4,000",,0,0,232.70,,,,,,
20,05/15/17,2017,May,North,Tillamook,Cape Meares,CAP,12:25,15.7,,,"3,000","2,000","1,000",,0,0,98.90,,,,,,
20,05/15/17,2017,May,North,Clatsop,Clatsop Seaside,SEA,10:20,13.5,,Incoming,"57,000","57,000",0,,0,"1,000",583.30,,,,,,
20,05/15/17,2017,May,North,Clatsop,Clatsop South Jetty,CSJ,15:00,13.2,,Incoming,"20,000","20,000",0,,0,0,<100,,,,,,
20,05/15/17,2017,May,North,Clatsop,Clatsop Sunset,SUN,9:48,12.8,,Outgoing,"142,000","142,000",0,,0,0,1277.50,,,,,,
20,05/15/17,2017,May,Central,Lincoln,Newport South Beach,NSB,14:30,14.8,,Incoming,"1,000","1,000",0,,0,0,,,,,,,
21,05/22/17,2017,May,North,Clatsop,Cannon Beach Tolovana,CBT,9:29,11.9,,Incoming,"36,000","34,000","2,000",,"1,000",0,48.20,,,,,,
21,05/22/17,2017,May,North,Tillamook,Cape Meares,CAP,10:51,12.2,,,"29,000","29,000",0,,0,0,<100,,,,,,
21,05/22/17,2017,May,North,Clatsop,Clatsop Seaside,SEA,9:04,13.1,,Incoming,"51,000","49,000","2,000",,0,0,LOW,,,,,,
21,05/22/17,2017,May,North,Clatsop,Clatsop South Jetty,CSJ,8:18,12.2,,Incoming,"30,000","30,000",0,,0,0,<100,,,,,,
21,05/22/17,2017,May,North,Clatsop,Clatsop Sunset,SUN,8:40,12.9,,Incoming,"218,000","213,000","5,000",,0,0,201.50,,,,,,
22,05/30/17,2017,May,North,Clatsop,Cannon Beach Tolovana,CBT,11:04,12.6,,Low,"78,000","78,000",0,,0,0,598.80,,,,,,
22,05/30/17,2017,May,North,Tillamook,Cape Meares,CAP,12:30,14.4,,,"71,000","58,000","13,000",,0,0,530.20,,,,,,
22,05/30/17,2017,May,North,Clatsop,Clatsop Seaside,SEA,10:29,12.5,,Outgoing,"53,000","53,000",0,,0,0,105.00,,,,,,
22,05/30/17,2017,May,North,Clatsop,Clatsop South Jetty,CSJ,10:28,12.1,,Outgoing,"109,000","101,000","8,000",,0,0,676.70,,,,,,
22,05/30/17,2017,May,North,Clatsop,Clatsop Sunset,SUN,11:30,13.1,,Outgoing,"142,000","140,000","2,000",,0,0,1185.90,,,,,,
22,05/31/17,2017,May,Central,Lincoln,Lincoln City Salishan,SAL,11:24,11.5,,Outgoing,"42,000","39,000","3,000",,0,0,125.10,,,,,,
23,06/05/17,2017,June,North,Clatsop,Cannon Beach Tolovana,CBT,9:52,12.9,,Incoming,"5,000","5,000",0,,0,0,LOW,,,,,,
23,06/05/17,2017,June,North,Tillamook,Cape Meares,CAP,11:21,13.4,,,"24,000","24,000",0,,0,0,LOW,,,,,,
