sma,subunit,corner,name,lat_dms,lat_dd,long_dms,long_dd
Makah,Makah,NE,Tatoosh Island,48¡ 23.50,48.39166667,124¡ 44.20,-124.7366667
Makah,Makah,NW,,48¡ 19.50,48.325,124¡ 50.45,-124.8408333
Makah,Makah,SW,,48¡ 02.15,48.03583333,124¡ 50.45,-124.8408333
Makah,Makah,SE,,48¡ 02.15,48.03583333,124¡ 41.00,-124.6833333
Quileute,Quileute,NE,Cape Johnson,47¡ 58.00,47.96666667,124¡ 40.40,-124.6733333
Quileute,Quileute,NW,,47¡ 58.00,47.96666667,124¡ 49.00,-124.8166667
Quileute,Quileute,SW,,47¡ 40.50,47.675,124¡ 40.00,-124.6666667
Quileute,Quileute,SE,Destruction Island,47¡ 40.50,47.675,124¡ 24.43,-124.4071667
Quinault,Quinault-Split Rock to Raft River,NE,Raft River,47¡ 28.00,47.46666667,124¡ 20.70,-124.345
Quinault,Quinault-Split Rock to Raft River,NW,,47¡ 28.00,47.46666667,124¡ 34.00,-124.5666667
Quinault,Quinault-Split Rock to Raft River,SW,,47¡ 24.50,47.40833333,124¡ 32.40,-124.54
Quinault,Quinault-Split Rock to Raft River,SE,,47¡ 24.50,47.40833333,124¡ 20.00,-124.3333333
Quinault,Quinault-Copalis River to Split Rock,NE,,47¡ 24.50,47.40833333,124¡ 20.00,-124.3333333
Quinault,Quinault-Copalis River to Split Rock,NW,,47¡ 24.50,47.40833333,124¡ 32.40,-124.54
Quinault,Quinault-Copalis River to Split Rock,SW,,47¡ 08.00,47.13333333,124¡ 25.50,-124.425
Quinault,Quinault-Copalis River to Split Rock,SE,Copalis River,47¡ 08.00,47.13333333,124¡ 11.20,-124.1866667
